year,club_group,avg_revenue,avg_wage_bill
2016,Big Six,416.8333333333333,213.5
2016,Non-Big Six,147.28571428571428,87.07142857142857
2017,Big Six,459.1666666666667,239.16666666666666
2017,Non-Big Six,146.92857142857142,99.34285714285714
2018,Big Six,498.8333333333333,275.8333333333333
2018,Non-Big Six,154.28571428571428,104.76428571428572
2019,Big Six,437.6666666666667,275.0
2019,Non-Big Six,135.42857142857142,113.95
2020,Big Six,445.5,294.1666666666667
2020,Non-Big Six,156.5,120.09285714285714
2021,Big Six,513.6666666666666,310.8333333333333
2021,Non-Big Six,169.57142857142858,123.55
2022,Big Six,580.1666666666666,336.1666666666667
2022,Non-Big Six,184.85714285714286,145.34285714285713
2023,Big Six,602.8333333333334,340.5
2023,Non-Big Six,199.57142857142858,142.57142857142858
2024,Big Six,635.0,351.8333333333333
2024,Non-Big Six,214.21428571428572,163.3642857142857
