position,club_seasons,survived_next_season_rate,survived_next_2_seasons_rate,top_15_next_season_rate,top_15_next_2_seasons_rate
4,1,1.0,1.0,1.0,1.0
5,2,1.0,1.0,1.0,0.5
6,2,1.0,1.0,1.0,1.0
7,6,1.0,1.0,1.0,1.0
8,4,1.0,1.0,0.75,0.75
9,7,1.0,1.0,0.42857142857142855,0.42857142857142855
10,7,1.0,1.0,0.42857142857142855,0.2857142857142857
11,7,1.0,1.0,0.8571428571428571,0.8571428571428571
12,6,1.0,1.0,1.0,0.8333333333333334
13,7,1.0,0.8571428571428571,0.7142857142857143,0.2857142857142857
14,7,1.0,1.0,1.0,0.8571428571428571
15,7,1.0,0.8571428571428571,0.42857142857142855,0.14285714285714285
16,7,1.0,0.8571428571428571,0.5714285714285714,0.5714285714285714
17,7,1.0,0.8571428571428571,0.5714285714285714,0.42857142857142855
18,7,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857
19,7,0.2857142857142857,0.14285714285714285,0.0,0.0
20,7,0.5714285714285714,0.0,0.0,0.0
