season,league,club,total_spent,players_bought,loans,funds_received,net_spend
2016,Premier League,AFC Bournemouth,40690000.0,9,3,23690000.0,17000000.0
2016,Premier League,Arsenal FC,113000000.0,5,0,10350000.0,102650000.0
2016,Premier League,Burnley FC,45600000.0,10,2,1200000.0,44400000.0
2016,Premier League,Chelsea FC,132800000.0,5,0,108900000.0,23900000.0
2016,Premier League,Crystal Palace,101200000.0,11,2,50200000.0,51000000.0
2016,Premier League,Everton FC,86000000.0,8,1,60800000.0,25200000.0
2016,Premier League,Hull City,40000000.0,15,7,28900000.0,11100000.0
2016,Premier League,Leicester City,92100000.0,9,1,66050000.0,26050000.0
2016,Premier League,Liverpool FC,79900000.0,6,0,88980000.0,-9080000.0
2016,Premier League,Manchester City,216250000.0,12,0,35350000.0,180900000.0
2016,Premier League,Manchester United,185000000.0,4,0,47250000.0,137750000.0
2016,Premier League,Middlesbrough FC,47950000.0,14,2,13500000.0,34450000.0
2016,Premier League,Southampton FC,68900000.0,9,1,85050000.0,-16150000.0
2016,Premier League,Stoke City,42165000.0,9,3,3800000.0,38365000.0
2016,Premier League,Sunderland AFC,41900000.0,14,3,23770000.0,18130000.0
2016,Premier League,Swansea City,58100000.0,10,0,49300000.0,8800000.0
2016,Premier League,Tottenham Hotspur,83500000.0,5,1,52300000.0,31200000.0
2016,Premier League,Watford FC,70450000.0,18,4,58100000.0,12350000.0
2016,Premier League,West Bromwich Albion,37900000.0,7,2,26975000.0,10925000.0
2016,Premier League,West Ham United,83500000.0,13,3,41000000.0,42500000.0
2017,Premier League,AFC Bournemouth,34300000.0,4,0,0.0,34300000.0
2017,Premier League,Arsenal FC,152850000.0,5,0,162400000.0,-9550000.0
2017,Premier League,Brighton & Hove Albion,70000000.0,15,3,400000.0,69600000.0
2017,Premier League,Burnley FC,35740000.0,10,1,50000000.0,-14260000.0
2017,Premier League,Chelsea FC,260500000.0,10,0,194600000.0,65900000.0
2017,Premier League,Crystal Palace,55950000.0,9,3,3000000.0,52950000.0
2017,Premier League,Everton FC,203200000.0,12,1,126380000.0,76820000.0
2017,Premier League,Huddersfield Town,56750000.0,15,4,6455000.0,50295000.0
2017,Premier League,Leicester City,83845000.0,9,1,50100000.0,33745000.0
2017,Premier League,Liverpool FC,173650000.0,5,0,184500000.0,-10850000.0
2017,Premier League,Manchester City,317500000.0,10,0,91350000.0,226150000.0
