understat_id,understat_name,transfermarkt_id,transfermarkt_name
83,Arsenal,11,Arsenal FC
71,Aston Villa,405,Aston Villa
73,Bournemouth,989,AFC Bournemouth
244,Brentford,1148,Brentford FC
220,Brighton,1237,Brighton & Hove Albion
92,Burnley,1132,Burnley FC
227,Cardiff,603,Cardiff City
80,Chelsea,631,Chelsea FC
78,Crystal Palace,873,Crystal Palace
72,Everton,29,Everton FC
228,Fulham,931,Fulham FC
219,Huddersfield,1110,Huddersfield Town
91,Hull,3008,Hull City
285,Ipswich,677,Ipswich Town
245,Leeds,399,Leeds United
75,Leicester,1003,Leicester City
87,Liverpool,31,Liverpool FC
256,Luton,1031,Luton Town
88,Manchester City,281,Manchester City
89,Manchester United,985,Manchester United
93,Middlesbrough,641,Middlesbrough FC
86,Newcastle United,762,Newcastle United
79,Norwich,1123,Norwich City
249,Nottingham Forest,703,Nottingham Forest
238,Sheffield United,350,Sheffield United
74,Southampton,180,Southampton FC
85,Stoke,512,Stoke City
77,Sunderland,289,Sunderland AFC
84,Swansea,2288,Swansea City
82,Tottenham,148,Tottenham Hotspur
90,Watford,1010,Watford FC
76,West Bromwich Albion,984,West Bromwich Albion
81,West Ham,379,West Ham United
229,Wolverhampton Wanderers,543,Wolverhampton Wanderers
