team_name,year,understat_season,position,xpts,next_position,next_xpts,xpts_change_next_season
Wolverhampton Wanderers,2019,2019/20,7,63.82129999999997,13.0,44.2578,-19.56349999999997
Leicester,2020,2020/21,5,59.74900000000002,8.0,42.31229999999999,-17.436700000000023
Brighton,2022,2022/23,6,70.85740000000001,13.0,54.43240000000002,-16.42499999999999
Everton,2016,2016/17,7,55.7771,8.0,47.00149999999998,-8.775600000000018
Newcastle United,2022,2022/23,4,71.6661,7.0,65.58999999999999,-6.076100000000011
West Ham,2020,2020/21,6,59.1827,7.0,53.56340000000001,-5.619299999999988
Newcastle United,2023,2023/24,7,65.58999999999999,6.0,62.61070000000001,-2.9792999999999807
West Ham,2021,2021/22,7,53.56340000000001,14.0,51.61719999999999,-1.9462000000000188
Leicester,2019,2019/20,5,61.1553,5.0,59.74900000000002,-1.4062999999999803
Burnley,2017,2017/18,7,41.00169999999999,15.0,41.9982,0.9965000000000046
Aston Villa,2022,2022/23,7,54.3668,4.0,55.42860000000002,1.0618000000000194
Wolverhampton Wanderers,2018,2018/19,7,59.9145,7.0,63.82129999999997,3.9067999999999756
Aston Villa,2023,2023/24,4,55.42860000000002,5.0,61.5269,6.0982999999999805
