model,exclude_big_six,feature,coefficient,abs_coefficient
table_only,True,gd,0.9460929244602455,0.9460929244602455
table_only,True,pts,-0.38596795908091286,0.38596795908091286
table_only,True,position,-0.34902990384929267,0.34902990384929267
underlying_performance,True,xpts,0.684872518141059,0.684872518141059
underlying_performance,True,xpts_diff,-0.2519151720430193,0.2519151720430193
underlying_performance,True,ppda_coef,0.24642228133628227,0.24642228133628227
underlying_performance,True,npxGA,-0.23521262461691667,0.23521262461691667
underlying_performance,True,npxG,-0.023889726889016485,0.023889726889016485
financial_resource,True,revenue_rank,-0.5478648614451057,0.5478648614451057
financial_resource,True,wage_to_revenue,0.39330424102280825,0.39330424102280825
financial_resource,True,total_spent_to_revenue,0.3281467796437747,0.3281467796437747
financial_resource,True,wage_rank,-0.18537353352351343,0.18537353352351343
financial_resource,True,net_spend_to_revenue,-0.09611471184227112,0.09611471184227112
recruitment_efficiency,True,net_spend_efficiency_npxGD,0.4302122496687173,0.4302122496687173
recruitment_efficiency,True,wage_efficiency_npxGD,-0.21738448501248595,0.21738448501248595
recruitment_efficiency,True,revenue_efficiency_npxGD,0.14266765777414525,0.14266765777414525
recruitment_efficiency,True,total_spend_efficiency_npxGD,-0.08864959789360324,0.08864959789360324
squad_and_manager,True,age_std,-0.5844053369244447,0.5844053369244447
squad_and_manager,True,primary_manager_tenure,-0.45113011696655314,0.45113011696655314
squad_and_manager,True,manager_count_season,-0.4312860472350319,0.4312860472350319
squad_and_manager,True,squad_size,0.2608925833963961,0.2608925833963961
squad_and_manager,True,avg_age,-0.2578155535168599,0.2578155535168599
squad_and_manager,True,manager_change_flag,-0.1031223586768343,0.1031223586768343
squad_and_manager,True,veteran_o30_pct,0.04917345478633588,0.04917345478633588
squad_and_manager,True,young_u21_pct,-0.0022579309131918,0.0022579309131918
full_model,True,wage_rank,-0.6491243862404718,0.6491243862404718
full_model,True,xpts,0.5307885930564462,0.5307885930564462
full_model,True,wage_to_revenue,0.5240483947998099,0.5240483947998099
full_model,True,deep_diff,-0.49883512174715755,0.49883512174715755
full_model,True,veteran_o30_pct,-0.4690224181671405,0.4690224181671405
full_model,True,young_u21_pct,-0.4518608373687681,0.4518608373687681
full_model,True,xGA,-0.4108603213774013,0.4108603213774013
full_model,True,manager_change_flag,-0.3550037699960635,0.3550037699960635
full_model,True,revenue_rank,-0.24608512385122844,0.24608512385122844
full_model,True,wage_efficiency_npxGD,0.22343729004105203,0.22343729004105203
full_model,True,ppda_coef,0.1676742984849436,0.1676742984849436
full_model,True,npxGD,-0.1674155478239529,0.1674155478239529
full_model,True,net_spend_efficiency_npxGD,-0.11109632107855784,0.11109632107855784
full_model,True,net_spend_to_revenue,0.007776573843031341,0.007776573843031341
full_model,True,avg_age,-0.002412432653598689,0.002412432653598689
full_model_all_clubs_sensitivity,False,wage_rank,-1.0694448807542365,1.0694448807542365
full_model_all_clubs_sensitivity,False,xpts,0.6021423398475109,0.6021423398475109
full_model_all_clubs_sensitivity,False,veteran_o30_pct,-0.4833873684818459,0.4833873684818459
full_model_all_clubs_sensitivity,False,young_u21_pct,-0.41106873872523697,0.41106873872523697
full_model_all_clubs_sensitivity,False,ppda_coef,0.393796628083304,0.393796628083304
full_model_all_clubs_sensitivity,False,npxGD,0.3360388016621636,0.3360388016621636
full_model_all_clubs_sensitivity,False,xGA,-0.3124338144954453,0.3124338144954453
full_model_all_clubs_sensitivity,False,revenue_rank,-0.273056057274134,0.273056057274134
full_model_all_clubs_sensitivity,False,manager_change_flag,-0.2464042248408353,0.2464042248408353
full_model_all_clubs_sensitivity,False,net_spend_efficiency_npxGD,-0.1521561155125476,0.1521561155125476
full_model_all_clubs_sensitivity,False,wage_to_revenue,0.08067816840565906,0.08067816840565906
full_model_all_clubs_sensitivity,False,deep_diff,0.06500029422444781,0.06500029422444781
full_model_all_clubs_sensitivity,False,net_spend_to_revenue,0.05144644737971517,0.05144644737971517
full_model_all_clubs_sensitivity,False,wage_efficiency_npxGD,-0.016779727844878828,0.016779727844878828
full_model_all_clubs_sensitivity,False,avg_age,-0.015232425839202242,0.015232425839202242
