team_name,year,understat_season,position,pts,npxGD,xGA,revenue,wage_bill,top_15_next_2_seasons,predicted_stability_probability,model,exclude_big_six
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.6547736545380007,table_only,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.7393750764774065,table_only,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.25147235532659046,table_only,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.5832614609546638,table_only,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.7955398214555323,table_only,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.6974527010313151,table_only,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.8706157496000931,table_only,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.4212989727402874,table_only,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.7400778401211981,table_only,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.6179214368593433,table_only,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.3701215652877319,table_only,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.3764612795936095,table_only,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.7208901769182967,table_only,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.19854924855709008,table_only,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.2899160768259329,table_only,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.7637710079307305,table_only,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.45910434681410794,table_only,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.45224038326215765,table_only,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.9356012860890337,table_only,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.07885012430816613,table_only,True
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.2883066090606616,table_only,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.36732562116167955,table_only,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.23737028337746188,table_only,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.20410022680233858,table_only,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.8115194971208197,table_only,True
West Ham,2022,2022/23,14,40,-5.623793000000035,55.31217300000002,237.0,137.0,1,0.5452700078710891,table_only,True
Wolverhampton Wanderers,2021,2021/22,10,51,-12.589150099999998,58.48269700000001,166.0,121.0,1,0.6403662541515814,table_only,True
Wolverhampton Wanderers,2022,2022/23,13,41,-26.79406399999997,62.68203999999999,169.0,142.0,0,0.3567778032840062,table_only,True
Aston Villa,2021,2021/22,14,45,-7.571921000000024,53.09572500000001,178.0,137.0,1,0.49906933034152623,underlying_performance,True
Aston Villa,2022,2022/23,7,61,-2.294278999999996,53.95553699999999,218.0,194.0,1,0.6839154465928988,underlying_performance,True
Bournemouth,2022,2022/23,15,39,-22.189944,67.60209400000001,141.0,100.0,1,0.40417650334778,underlying_performance,True
Brentford,2021,2021/22,13,46,2.627949999999992,49.500452,141.0,59.7,0,0.6300927503409627,underlying_performance,True
Brentford,2022,2022/23,9,59,3.206988999999993,51.453067,167.0,98.8,0,0.7838816086118416,underlying_performance,True
Brighton,2021,2021/22,9,51,0.0725149999999956,47.211438,175.0,115.0,1,0.5755143361579258,underlying_performance,True
Brighton,2022,2022/23,6,62,29.179226000000007,50.154518,204.0,128.0,1,0.7777818022368828,underlying_performance,True
Burnley,2021,2021/22,18,35,-16.8337517,60.22312,123.0,92.0,0,0.37249716417976386,underlying_performance,True
Crystal Palace,2021,2021/22,12,48,4.377117400000017,41.3314426,160.0,124.0,1,0.742444144808233,underlying_performance,True
Crystal Palace,2022,2022/23,11,45,-10.285157999999996,51.626247,180.0,130.0,1,0.5904380879311597,underlying_performance,True
Everton,2021,2021/22,16,39,-20.03029400000001,60.694247,181.0,162.0,0,0.4573998736475241,underlying_performance,True
Everton,2022,2022/23,17,36,-17.649514399999973,68.58286199999999,172.0,159.0,1,0.34266234284625985,underlying_performance,True
Fulham,2022,2022/23,10,52,-24.179839200000004,71.490811,182.0,139.0,1,0.3903182735450592,underlying_performance,True
Leeds,2021,2021/22,17,38,-20.123538,71.30961199999999,189.0,121.0,0,0.24623834514814794,underlying_performance,True
Leeds,2022,2022/23,19,31,-19.501572000000003,69.58103300000002,190.0,146.0,0,0.18637360029932687,underlying_performance,True
Leicester,2021,2021/22,8,52,-11.097022800000005,66.10659400000002,215.0,182.0,0,0.42640804151350054,underlying_performance,True
Leicester,2022,2022/23,18,34,-11.650683500000014,59.789351,177.0,206.0,0,0.3917061405373863,underlying_performance,True
Newcastle United,2021,2021/22,11,49,-18.745926999999995,62.711766,180.0,170.0,1,0.5181555905770875,underlying_performance,True
Newcastle United,2022,2022/23,4,71,34.35964010000001,41.8562479,250.0,187.0,1,0.8595307836947548,underlying_performance,True
Norwich,2021,2021/22,20,22,-41.488207200000005,80.07547500000003,134.0,118.0,0,0.12274593588002199,underlying_performance,True
Nottingham Forest,2022,2022/23,16,38,-26.60133300000001,68.459309,155.0,145.0,0,0.44310321732431146,underlying_performance,True
Southampton,2021,2021/22,15,40,-18.73178000000001,64.557484,151.0,113.0,0,0.3452561703378441,underlying_performance,True
Southampton,2022,2022/23,20,25,-24.483745,62.900044,146.0,123.0,0,0.2507904695782675,underlying_performance,True
Watford,2021,2021/22,19,23,-24.388179,67.53443,128.0,79.0,0,0.25694896232915587,underlying_performance,True
West Ham,2021,2021/22,7,56,0.9510740000000056,53.87672200000001,253.0,136.0,1,0.7383898299816387,underlying_performance,True
