team_name,seasons_in_analysis,first_year,last_year,sustainability_rate,successful_observations,avg_finish,median_finish,best_finish,worst_finish,top_15_finishes,pct_top_15_finishes,at_risk_finishes,relegation_zone_finishes,avg_npxGD,avg_xGA,avg_xpts,avg_deep_diff,avg_revenue_rank,avg_wage_rank,avg_wage_to_revenue,avg_net_spend_to_revenue,avg_wage_efficiency_npxGD,avg_net_spend_efficiency_npxGD,avg_avg_age,avg_young_u21_pct,avg_veteran_o30_pct,avg_manager_change_flag
Crystal Palace,7,2016,2022,1.0,7,12.571428571428571,12.0,11,14,7,1.0,0,0,-10.718666528571422,52.66072594285714,48.14482857142856,-55.142857142857146,12.857142857142858,10.714285714285714,0.8192785589948685,175569.17805362455,-1.2857142857142858,0.2857142857142857,26.402003162763474,0.18907421828425322,0.24133059147658703,0.42857142857142855
Newcastle United,6,2017,2022,1.0,6,11.0,12.0,4,14,6,1.0,0,0,-8.526986233333332,56.93981148333333,45.53685000000001,-100.16666666666667,9.833333333333334,11.833333333333334,0.7328104104516363,354551.4320139883,-0.8333333333333334,-3.0,26.339862981701646,0.09928971225666627,0.18306931866558304,0.16666666666666666
Aston Villa,4,2019,2022,1.0,4,12.25,12.5,7,17,3,0.75,1,0,-7.65879665000001,57.97480005,47.963725,-43.5,12.75,10.25,0.8435432370351382,551772.2901727802,-1.5,-3.25,25.0665110189653,0.21540639935115466,0.11079312201119194,0.5
Wolverhampton Wanderers,5,2018,2022,0.8,4,10.0,10.0,7,13,5,1.0,0,0,-4.665600479999992,50.687889780000006,48.707359999999994,-85.0,12.6,13.8,0.7066284771737998,400084.49819455494,2.4,-1.4,24.21150644046516,0.2921480210121184,0.13853078136648114,0.2
West Ham,7,2016,2022,0.7142857142857143,5,11.0,11.0,6,16,6,0.8571428571428571,1,0,-8.224892414285707,58.725251428571426,47.4474,-95.71428571428571,8.571428571428571,11.428571428571429,0.647181033100324,309933.4768857377,-0.7142857142857143,-3.7142857142857144,26.070611259966956,0.2174579778147818,0.24390000623905475,0.2857142857142857
Fulham,3,2018,2022,0.6666666666666666,2,15.666666666666666,18.0,10,19,1,0.3333333333333333,2,2,-22.639796100000012,67.57108626666667,38.419900000000005,-83.33333333333333,15.333333333333334,14.0,0.8058364590598474,468375.6336117655,-3.0,-7.666666666666667,25.580920592178824,0.16885537575192747,0.14944411496135632,0.3333333333333333
Bournemouth,5,2016,2022,0.6,3,12.8,13.0,8,18,4,0.8,1,1,-17.533724859999992,64.2488956,41.24828,-100.6,16.2,15.0,0.7619128912853983,348451.0239117842,0.2,-3.8,25.00441252333211,0.20889253785805506,0.13575259989053093,0.2
Leicester,7,2016,2022,0.5714285714285714,4,9.428571428571429,9.0,5,18,6,0.8571428571428571,1,1,-0.7080440857142847,52.30867167142857,52.64317142857143,-31.857142857142858,9.142857142857142,7.428571428571429,0.8546686382213046,96094.45726096553,-2.2857142857142856,3.857142857142857,25.84456884270092,0.18367844819457718,0.22229359648714486,0.5714285714285714
Everton,7,2016,2022,0.5714285714285714,4,11.0,9.0,7,17,5,0.7142857142857143,2,0,-5.378738314285719,54.17734827142857,49.86671428571428,-67.28571428571429,9.428571428571429,8.285714285714286,0.841003459479116,188269.55290499685,-3.142857142857143,-0.42857142857142855,25.519840960928246,0.23266599934681426,0.169307131276571,0.5714285714285714
Brighton,6,2017,2022,0.5,3,13.0,15.0,6,17,4,0.6666666666666666,2,0,-2.1089434166666567,52.2057405,51.91726666666667,-4.5,13.333333333333334,15.833333333333334,0.6795275608013348,202957.3920765787,4.833333333333333,0.8333333333333334,25.29021381310909,0.22746031746031745,0.16119047619047613,0.16666666666666666
