club_id,club_name,season,season_id,in_premier_league,revenue,wage_bill
11,Arsenal,2016/17,2016,TRUE,416,199
11,Arsenal,2017/18,2017,TRUE,386,223
11,Arsenal,2018/19,2018,TRUE,390,232
11,Arsenal,2019/20,2019,TRUE,340,225
11,Arsenal,2020/21,2020,TRUE,325,238
11,Arsenal,2021/22,2021,TRUE,367,212
11,Arsenal,2022/23,2022,TRUE,463,235
11,Arsenal,2023/24,2023,TRUE,612,328
11,Arsenal,2024/25,2024,TRUE,690,347
405,Aston Villa,2016/17,2016,FALSE,73.8,61.5
405,Aston Villa,2017/18,2017,FALSE,68.6,73.1
405,Aston Villa,2018/19,2018,FALSE,54.3,95
405,Aston Villa,2019/20,2019,TRUE,113,109
405,Aston Villa,2020/21,2020,TRUE,184,138
405,Aston Villa,2021/22,2021,TRUE,178,137
405,Aston Villa,2022/23,2022,TRUE,218,194
405,Aston Villa,2023/24,2023,TRUE,276,252
405,Aston Villa,2024/25,2024,TRUE,378,273
989,Bournemouth,2016/17,2016,TRUE,139,71.5
989,Bournemouth,2017/18,2017,TRUE,140,102
989,Bournemouth,2018/19,2018,TRUE,139,111
989,Bournemouth,2019/20,2019,TRUE,102,108
989,Bournemouth,2020/21,2020,FALSE,76.7,57.4
989,Bournemouth,2021/22,2021,FALSE,53.2,61.4
989,Bournemouth,2022/23,2022,TRUE,141,100
989,Bournemouth,2023/24,2023,TRUE,170,136
989,Bournemouth,2024/25,2024,TRUE,182,158
1148,Brentford,2016/17,2016,FALSE,12.7,14.7
1148,Brentford,2017/18,2017,FALSE,12.7,17.2
1148,Brentford,2018/19,2018,FALSE,15.2,18.9
1148,Brentford,2019/20,2019,FALSE,14,25.9
1148,Brentford,2020/21,2020,FALSE,15.3,41.4
1148,Brentford,2021/22,2021,TRUE,141,59.7
1148,Brentford,2022/23,2022,TRUE,167,98.8
1148,Brentford,2023/24,2023,TRUE,167,114
1148,Brentford,2024/25,2024,TRUE,173,131
1237,Brighton & Hove Albion,2016/17,2016,FALSE,29.2,40.4
1237,Brighton & Hove Albion,2017/18,2017,TRUE,139,77.6
1237,Brighton & Hove Albion,2018/19,2018,TRUE,143,102
1237,Brighton & Hove Albion,2019/20,2019,TRUE,133,103
1237,Brighton & Hove Albion,2020/21,2020,TRUE,146,109
1237,Brighton & Hove Albion,2021/22,2021,TRUE,175,115
1237,Brighton & Hove Albion,2022/23,2022,TRUE,204,128
1237,Brighton & Hove Albion,2023/24,2023,TRUE,261,146
1237,Brighton & Hove Albion,2024/25,2024,TRUE,222,165
1132,Burnley,2016/17,2016,TRUE,121,61.2
1132,Burnley,2017/18,2017,TRUE,139,81.6
1132,Burnley,2018/19,2018,TRUE,138,86.6
1132,Burnley,2019/20,2019,TRUE,134,100
1132,Burnley,2020/21,2020,TRUE,115,85.9
1132,Burnley,2021/22,2021,TRUE,123,92
1132,Burnley,2022/23,2022,FALSE,64.9,53.7
1132,Burnley,2023/24,2023,TRUE,134,93.4
1132,Burnley,2024/25,2024,FALSE,71.7,82.3
